ext_id,price,discounted_price,ontology
97350,28,14.606543189396504,Unisex>Health & Beauty>Nail Tools>Body>Accessories
91940,65,41.19058726718616,Female>Health & Beauty>Make Up>Makeup>Brushes And Tools
91937,69,39.969625212595538,Female>Health & Beauty>Make Up>Makeup>Brushes And Tools
93597,89,68.810282956125505,Female>Health & Beauty>Make Up>Makeup>BB Cream
EV069,-1,-0.59199563278296752,Unisex>Health & Beauty>Gift Ideas
EV077,-1,-0.80614184048900772,Unisex>Health & Beauty>Gift Ideas
88885,85,64.07885441161929,Female>Health & Beauty>Make Up>Makeup>Brushes And Tools
13966,139,56.273921779479288,Unisex>Health & Beauty>Bath & Body>Body Butter>Body Cleanser>Gift Ideas>Hand Cream>Shower Gel
13503,145,64.670191392136317,Unisex>Health & Beauty>Bath & Body>Gift Ideas
13816,125,73.464100379737914,Unisex>Health & Beauty>Gift Ideas>Hand Cream
94115,64,44.254622367062922,Unisex>Health & Beauty>Body Mist>Fragrance>Body Mists
97800,129,106.04368503934778,Unisex>Health & Beauty>Body Mist>Fragrance>Gift Ideas
97784,109,50.878961249034333,Unisex>Health & Beauty>Shampoo>Body>Conditioner
13436,239,191.67648199302297,Unisex>Health & Beauty>Bath & Body>Gift Ideas
FBLive_FGT Set,95,55.332763640577511,Unisex>Health & Beauty>Bath & Body>Shampoo>Shower Gel
Set3_SkinReliefSeaweedSet,149,72.904906283624896,Unisex>Health & Beauty>Skincare>Face>Moisturisers
Set2_PurifyingCharcoalSet,139,113.43089866788871,Unisex>Health & Beauty>Skincare>Face>Face Cleanser and Face Wash
EV038,100,81.062519174135645,Unisex>Health & Beauty>Gift Ideas
93673,99,65.142819201958559,Female>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
98238,43.5,19.459825472087083,Female>Health & Beauty>Lip Balm>Makeup>Lip
96100,112.5,97.086195847939308,Female>Health & Beauty>Bath & Body>Body Lotion
55409,62.5,39.768843552766953,Male>Health & Beauty>Skincare>Face>Mens Skincare
98121,66,47.624152494241876,Female>Health & Beauty>Fragrance>Fragrance>Body Mists
97773,249,116.82214752792056,Unisex>Health & Beauty>Bath & Body>Gift Ideas
11410,38,20.475124560002421,Unisex>Health & Beauty>Bath & Body>Body Cleanser
91638,59,52.739786124876893,Female>Health & Beauty>Make Up>Makeup>Foundation & Concealer
13475,239,143.80770387115777,Unisex>Health & Beauty>Bath & Body>Gift Ideas
98646,75,66.647250004912038,Female>Health & Beauty>Body Mist>Fragrance
82874,47.5,36.343638770014664,Unisex>Health & Beauty>Shower Gel>Body>Body Cleansers
77688,57,36.240960242002465,Female>Health & Beauty>Make Up>Makeup>Lip
55732,9.9000000000000004,5.0210899899145245,Female>Health & Beauty>Body>Accessories
94170,69,35.651552803334255,Female>Health & Beauty>Fragrance>Eau De Toilette
28884,39,31.32735068264687,Unisex>Health & Beauty>Nail Tools>Makeup>Nails
92412,95,69.801372712958127,Female>Health & Beauty>Scrub>Shampoo
87480,146,101.34687061319087,Unisex>Health & Beauty>Skincare>Face>Eye Care
96078,16.899999999999999,12.899377489330831,Female>Health & Beauty>Bath & Body>Body>Accessories
96334,48,29.480670252760614,Female>Health & Beauty>Make Up>Makeup>Lip
